[-177.86794342],[-22.30989704],[0.15819696]
[-178.26121876],[-22.93198079],[0.05006148]
[-178.41853928],[-22.55070005],[0.00247094]
[-178.00431081],[-24.26846195],[0.28622702]
[-177.86266568],[-23.12913228],[0.40352467]
[-177.75589826],[-24.39470957],[0.39851707]
[-177.89716829],[-24.45726772],[0.38886553]
[-178.21661416],[-25.75905536],[0.06245452]
[-178.02884276],[-23.8633642],[0.22877882]
[-177.42561713],[-28.81563126],[-0.06157201]
[-178.1742032],[-27.63770209],[0.19401618]
[-177.80180977],[-25.17524174],[0.08059028]
[-178.09048943],[-27.34245809],[-0.29475271]
[-178.06773488],[-25.78838148],[-0.33007916]
[-178.64428452],[-25.95102774],[0.02402473]
[-177.56725035],[-25.49803267],[-0.35053209]
[-178.44527333],[-26.4184436],[-0.19423202]
[-178.57046789],[-26.43590405],[0.5192856]
[-178.38022399],[-25.17618551],[0.53255626]
[179.56981851],[-26.553859],[1.93034295]
[179.57348587],[-26.01986216],[1.92744326]
[179.45393866],[-27.63882834],[2.78428176]
[179.73939894],[-28.76251577],[2.64515182]
[179.49807746],[-27.62619294],[3.17509785]
[179.39905197],[-29.46697128],[3.42940551]
[-179.63649866],[-29.06060287],[3.68178139]
[178.68685156],[-27.87131014],[3.64013813]
[179.50463301],[-27.73284848],[2.64584031]
[-179.33013942],[-27.81473267],[2.745529]
[-179.4079645],[-27.66171849],[2.84559254]
[-179.87932694],[-29.00802661],[3.48649577]
[-179.32780652],[-27.34129901],[3.39331528]
[-179.47532652],[-25.37553356],[2.87948177]
[-178.65445233],[-26.32224962],[2.67851892]
[-179.28031869],[-26.37642201],[2.90573613]
